ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,RCS,WheelSpdFl,WheelSpdFR,WheelSpdRL,WheelSpdRR,YawRate,frameIntervalTimeZ4,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,noise,using,DbfMag,FrameIntervalTime,installAngleOffset,VehLatAcc,VehLongAcc,matchFlag,tag,deltaRange,clusterID,idx,objLen,weight,MeasCounter,MAtr,SteeringAngle,SteeringAngleSpd,EstCarSpeed,Gear,isDmlMode,waveType,sideSlobe0,sideSlobe1,sideSlobe2,peakNum1,peakNum2,AlgTeam,ObstacleProb,scene,errorCode,FlagJam,FlagTunnelFence,FlagFenceScene,FlagBarnScene
START,FrameNb:0,CameraNb:0,HeSaiNb:0,ARS410Nb:0
2025/11/20 15:30:56:323---->
heightOffset:0,1763623856323,89995268,selfCaliBufCnt:0,selfAccObjCnt:0,selfAccAngle:0,installHAngleOffset:0,Interpolation:0,installVAngleOffset:0,radarOffsetH:0,radarOffsetV:0,Polynom:0;0;0;0;0;0;0;0;0;0;0;0,WheelDirection:0;0;0;0,selfAngleOffset:0,selfAngleOffsetPit:0,selfCaliAngleHrz_H:0,selfCaliAnglePit_H:0
1,55.67,-0.02,5.05,0,0,20.0505,0,0,-4.9,55.45,0,-0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,,0,0,0,0,

16,83.9,-0.02,-2.77,0,0,20.0505,0,0,4.05,83.8,0.02,-0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,,0,0,0,0,

17,16.3,-0.02,-10.96,0,0,20.0505,0,0,3.1,16,0,-0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

22,71.16,-0.04,4.39,0,0,20.0505,0,0,-5.45,70.95,0,-0.04,0,0,0,0,0,-0.0112305,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

24,43.7,-0.04,-3.94,0,0,20.0505,0,0,3,43.6,0,-0.04,0,0,0,0,0,-0.0112305,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

39,111.09,-0.04,2.92,0,0,20.0505,0,0,-5.65,110.95,0,-0.04,0,0,0,0,0,-0.0112305,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

56,20.99,0.08,13.64,0,0,20.0505,0,0,-4.95,20.4,0,0.08,0,0,0,0,0,-0.0112305,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

71,27.7,-0.02,-6.95,0,0,20.0505,0,0,3.35,27.5,0,-0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,,0,0,0,0,

86,62.41,0.02,4.09,0,0,20.0505,0,0,-4.45,62.25,-0.28,0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,,0,0,0,0,

96,20.91,0.02,27.18,0,0,20.0505,0,0,-9.55,18.6,0.04,0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

97,76.07,-0.02,3.28,0,0,20.0505,0,0,-4.35,75.95,0,-0.02,0,0,0,0,0,-0.0112305,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,,0,0,0,0,

98,209.06,-0.04,-0.69,0,0,20.0505,0,0,2.5,209.05,0.14,-0.04,0,0,0,0,0,-0.0112305,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,,0,0,0,0,

99,90.5,-0.04,3.26,0,0,20.0505,0,0,-5.15,90.35,0,-0.04,0,0,0,0,0,-0.0112305,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,,0,0,0,0,

