ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,RCS,WheelSpdFl,WheelSpdFR,WheelSpdRL,WheelSpdRR,YawRate,frameIntervalTimeZ4,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,noise,using,DbfMag,FrameIntervalTime,installAngleOffset,VehLatAcc,VehLongAcc,matchFlag,tag,deltaRange,clusterID,idx,objLen,weight,MeasCounter,MAtr,SteeringAngle,SteeringAngleSpd,EstCarSpeed,Gear,isDmlMode,waveType,sideSlobe0,sideSlobe1,sideSlobe2,peakNum1,peakNum2,AlgTeam,ObstacleProb,scene,errorCode
START,FrameNb:0,CameraNb:0,HeSaiNb:0,ARS410Nb:0
2025/11/20 11:33:31:761---->
heightOffset:0,1763609611761,0,selfCaliBufCnt:0,selfAccObjCnt:0,selfAccAngle:0,installHAngleOffset:0,Interpolation:0,installVAngleOffset:0,radarOffsetH:0,radarOffsetV:0,Polynom:0;0;0;0;0;0;0;0;0;0;0;0,WheelDirection:0;0;0;0,selfAngleOffset:0,selfAngleOffsetPit:0,selfCaliAngleHrz_H:0,selfCaliAnglePit_H:0
19,14.1,-17.9,-14.6,22.1,0,18.549,0,3,0,0,0,0,-20,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,14.18,-18.2,-11.9,24.6,0,18.549,0,0,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,70,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,16.24,-18.3,-9.7,25,0,18.549,0,-1,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,71,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,17.72,-18.28,-9,29.2,0,18.549,0,-4,0,0,0,0,-12,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,74,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,18.86,-18.22,-8.5,22.4,0,18.549,0,6,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,19.36,-18.34,-8.1,27.5,0,18.549,0,-2,0,0,0,0,-18,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,72,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,20.36,-18.3,-7.1,23.2,0,18.549,0,4,0,0,0,0,-17,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,20.46,-18.36,-7.6,26.2,0,18.549,0,0,0,0,0,0,-14,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,71,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,21.92,-18.38,-7.4,21.3,0,18.549,0,2,0,0,0,0,-18,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,66,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,22.42,-18.36,-8.5,24.1,0,18.549,0,0,0,0,0,0,-15,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,22.6,-18.3,-9.5,24.1,0,18.549,0,2,0,0,0,0,-15,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,24.12,-18.4,-6.7,23.4,0,18.549,0,-2,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,25.68,-18.38,-7.1,23.4,0,18.549,0,1,0,0,0,0,-15,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,66,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,26.6,-18,11.9,21,0,18.549,0,6,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,26.8,-18.46,-6.2,20.8,0,18.549,0,0,0,0,0,0,-19,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,63,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,28.18,-18.38,-5.3,18.9,0,18.549,0,-4,0,0,0,0,-17,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,61,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,29.64,-18.42,-5.6,26.4,0,18.549,0,2,0,0,0,0,-11,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,29.82,-18.22,9.5,24.8,0,18.549,0,5,0,0,0,0,-11,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,30.78,-18.48,-4.8,23.6,0,18.549,0,0,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,31.1,-18.46,-4.6,24.3,0,18.549,0,-2,0,0,0,0,-10,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,66,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,35.1,-18.46,-4,25.5,0,18.549,0,4,0,0,0,0,-12,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,37.72,-18.5,-4.3,24.9,0,18.549,0,0,0,0,0,0,-10,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,66,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,40.46,-18.44,7.5,24,0,18.549,0,7,0,0,0,0,-9,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,41.76,-18.32,7.2,24.9,0,18.549,0,-5,0,0,0,0,-8,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,43.34,-18.42,7,29.1,0,18.549,0,-1,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,69,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,46.58,-18.54,-3.4,19.6,0,18.549,0,0,0,0,0,0,-4,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,59,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,47.2,-18.54,-3,21.1,0,18.549,0,-1,0,0,0,0,-11,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,61,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,49.24,-18.54,-3.2,25.2,0,18.549,0,0,0,0,0,0,-7,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,51.36,-18.44,6.2,24.4,0,18.549,0,-4,0,0,0,0,-7,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,55.04,-18.14,5,19.1,0,18.549,0,11,0,0,0,0,-8,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,58,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,55.9,-18.46,5.3,22.6,0,18.549,0,-2,0,0,0,0,-12,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,61,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,57.06,-18.48,5.9,26.2,0,18.549,0,1,0,0,0,0,-4,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,58.26,-18.54,-2.4,17.1,0,18.549,0,0,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,56,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,59.62,-18.56,-3.4,17.2,0,18.549,0,-3,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,56,123,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,60.26,-18.48,-4.1,26.2,0,18.549,0,-2,0,0,0,0,-2,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,63.96,-18.48,5.1,27.2,0,18.549,0,0,0,0,0,0,-4,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,66,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,69.96,-18.48,4.4,26.4,0,18.549,0,-3,0,0,0,0,-2,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,75.02,-18.54,-2.2,18.5,0,18.549,0,12,0,0,0,0,-9,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,56,123,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,76.66,-18.5,4,22.8,0,18.549,0,-2,0,0,0,0,-5,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,60,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
